Country Code,Currency Code,BTC ATH,BTC Price,Retouched-YN,"Annual Inflation (21,22,23,24)",Effective Inflation Rate from Nov 2021 to Mar 2024,BTC ATH Inflation Adjusted
PLW,USD,69000.0,67400.0,0,"4.6, 13.7, 9.5, 1.8",25.998916095459947,77016.213693
PSE,ILS,214762.3280882836,241140.35,1,,,
PNG,PGK,238489.7888302803,257242.21,1,"5.7, 3.4, 5.7, 4.7",11.582142058846468,266112.01496844634
PCN,NZD,97262.22655177116,110580.62,1,,,
PRI,USD,69000.0,67400.0,0,"4.2, 6.2, 1.1, 1.9",8.616841957949873,77016.213693
BLM,EUR,59840.76789021492,62085.85,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
KNA,XCD,185485.7997894287,182151.87,0,"1.9, 3.9, 2.6, 2.3",7.545979847801121,199482.52086207175
LCA,XCD,185485.7997894287,182151.87,0,"4.1, 6.9, 2.2, 2.1",10.558844601807582,205070.95714761442
MAF,EUR,59840.76789021492,62085.85,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
SPM,EUR,59840.76789021492,62085.85,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
VCT,XCD,185485.7997894287,182151.87,0,"3.4, 6.7, 3.4, 2",11.494922739974944,206807.24916884815
WSM,WST,,,0,"4.1, 10.8, 10.7, 4.5",24.846079472778726,
SRB,RSD,7009450.481414795,7281537.92,1,"7.9, 15.1, 8.2, 4",27.36922120506855,8927882.488932952
SXM,ANG,121328.6165893078,121617.16,1,,,
SLB,SBD,,571753.41,0,"3.5, 8.5, 4.4, 3.6",14.937099691234357,
SGS,GBP,51204.57203686237,53161.01,1,,,60404.391844
SJM,NOK,592004.9915313721,712933.02,1,,,
TWN,TWD,1916357.744693756,2129653.38,1,"2.6, 2.7, 2.5, 1.8",6.1913512160989725,2035006.1832246599
TLS,USD,69000.0,67456.0,0,"5.3, 6.9, 6, 2.5",15.001260000334371,77016.213693
TKL,NZD,97262.22655177116,110672.5,1,,,
TON,TOP,,159880.84,0,"6.9, 11.3, 7.4, 6.2",22.704415892549147,
TTO,TTD,459708.6192369461,457782.86,0,"3.5, 8.7, 3.5, 2.3",13.796488415395691,523132.2656345469
TCA,USD,69000.0,67456.0,0,,,77016.213693
TUV,AUD,93826.58118009569,103634.95,1,"3.7, 7.8, 4.7, 3.4",14.505242,107436.354
UMI,USD,69000.0,67456.0,0,,,77016.213693
VUT,VUV,,,0,"0.7, 12.4, 8.3, 5.6",23.542293395747315,
VGB,USD,69000.0,67456.0,0,,,77016.213693
VIR,USD,69000.0,67456.0,0,,,77016.213693
WLF,XPF,7110449.947357178,7430345.86,1,,,
